Time,X,Y,Z,DerivX,DerivY,DerivZ,Intensity_L2Pre,Intensity_Squared
0.0,-1.446097850799561,-2.001552581787109,0.4572925269603729,120.30863364537561,30.20684321721394,292.4517398079237,317.6706483505331,317.6706483505331
0.01,-1.247379064559937,-0.8834604024887085,4.266467571258545,355.29952049255377,0.3192265828450447,395.04327873388917,531.3163306738003,531.3163306738003
0.02,2.262520551681519,-0.5363011956214905,11.13543224334717,361.0156844059626,-83.42795719703038,115.78957674403985,388.2006884483063,388.2006884483063
0.03,9.21288776397705,-1.991975784301758,12.30859088897705,350.1519958178202,-114.62241063515343,-48.28307107090951,371.5857534231567,371.5857534231567
0.04,15.61498355865479,-6.198588371276855,6.44279670715332,235.8288685480753,-105.7638610402743,-164.76098199685416,306.50845132129643,306.50845132129643
0.05,14.45379543304443,-6.14831018447876,2.229001760482788,98.24207822481785,-82.08121011654535,-156.5608392159144,202.23779904884026,202.23779904884026
0.06,11.51850414276123,-4.829104900360107,1.393425345420837,33.15970102945966,-74.30005073547363,-85.79222559928893,118.23861165007136,118.23861165007136
0.07,12.55519390106201,-5.125985622406006,4.316745758056641,26.475882530212356,-85.35327911376955,-38.88582487901052,97.45902722553579,97.45902722553579
0.08,14.80574321746826,-8.621520042419434,5.389348030090332,35.37433147430411,-92.49598582585654,-71.44696960846582,122.11273556588614,122.11273556588614
0.09,15.89989376068115,-9.50737476348877,0.9792284965515137,3.591299057006836,-58.5182785987854,-100.93555400768916,116.72734222075417,116.72734222075417
0.1,14.05875205993652,-9.289502143859863,-0.9696516990661621,-63.76557350158687,9.876076380411769,-88.18643018603325,109.27228247645476,109.27228247645476
0.11,12.8137674331665,-8.406042098999023,-0.6440402865409851,-120.88723182678214,81.3828984896342,-41.67906095584233,151.57190738219631,151.57190738219631
0.12,12.4378776550293,-7.903259754180908,0.6009446382522583,-156.90001646677632,113.1858785947164,1.9552651792764657,193.47475634421627,193.47475634421627
0.13,10.3573169708252,-5.760449409484863,0.1460463106632233,-164.30209080378214,124.11940097808838,9.038111691673596,206.11280941417715,206.11280941417715
0.14,7.462726593017578,-3.988739967346191,-0.3495534360408783,-155.98224401474005,104.08791700998943,-4.588886474569639,187.57881755259262,187.57881755259262
0.15,6.124367713928223,-3.871424198150635,-0.1963245421648026,-126.95254484812423,74.55943028132123,-21.4680090546608,148.78485373202878,148.78485373202878
0.16,6.007051944732666,-2.844311714172363,0.6177040338516235,-82.69971609115608,43.59442392985026,-44.7117168456316,103.62844427384431,103.62844427384431
0.17,4.759673118591309,-2.863465309143066,-0.8690952062606812,-24.48070844014485,8.20014079411825,-73.0031993240118,77.43393639946338,77.43393639946338
0.18,4.256890773773193,-2.997540473937988,-1.927332401275635,61.73050006230671,-30.70563475290935,-68.83329786360264,97.42439909130036,97.42439909130036
0.19,5.003881454467773,-2.528276920318604,-2.968810081481934,160.1720889409383,-64.2244617144267,-9.77632204691568,172.8451793686382,172.8451793686382
0.2,7.395689010620117,-4.194641590118408,-3.792415380477905,252.32890049616498,-63.725670178731285,102.49178310235342,279.70591818699836,279.70591818699836
0.21,11.89918231964111,-6.540958881378174,-1.946485996246338,254.1445056597392,-54.56784963607789,168.59169999758402,309.82291922808776,309.82291922808776
0.22,14.94939517974854,-5.676652431488037,2.387019157409668,156.14185333251953,-22.685062885284424,164.5415077606837,227.96666031764926,227.96666031764926
0.23,17.45133590698242,-3.818751811981201,6.09324312210083,-16.10100269317618,-50.57751337687171,123.72036874294281,134.62561713508705,134.62561713508705
0.24,14.75307083129883,-6.773196697235107,3.062183856964111,-178.7670532862345,-78.19064060846961,58.757701516151414,203.77414729760838,203.77414729760838
0.25,10.8313684463501,-5.394136428833008,1.881842494010925,-261.087687810262,-64.98262484868363,21.647576491038,269.9224700284675,269.9224700284675
0.26,6.727706909179688,-10.31422138214111,6.550535678863525,-254.5634905497233,-9.995790322621655,-22.50549097855885,255.75180091099824,255.75180091099824
0.27,5.288791656494141,-9.710882186889648,5.152322292327881,-180.78217903772997,103.58913143475847,-46.90639873345692,213.57227032360632,213.57227032360632
0.28,3.806780815124512,-4.041412353515625,2.437297344207764,-102.15260783831282,147.2434083620707,-47.604710857073464,185.42379860749594,185.42379860749594
0.29,3.392583847045898,-3.433285236358643,0.7469909191131592,-35.7334633668264,129.62607145309443,-18.295691410700478,135.7001515428286,135.7001515428286
0.3,3.418920040130615,-2.57616114616394,2.681505918502808,-17.018785079320274,72.86353707313538,19.03390189011891,77.20766478496122,77.20766478496122
0.31,3.778050184249878,-1.7405846118927,4.443638324737549,-30.72558815280596,17.058685421943665,-2.1747325857480457,35.21065147764519,35.21065147764519
0.32,4.338293552398682,-4.194641590118408,4.819528102874756,-73.62170095245042,7.1826050678888915,-57.720212390025445,93.82626276817675,93.82626276817675
0.33,2.329558372497559,-2.506729125976562,1.357512354850769,-93.59333490331967,20.39061884085337,-72.86353831489882,120.35192101003062,120.35192101003062
0.34,0.2633621990680695,-1.302445769309998,-0.5722141861915588,-54.88707423210144,28.151821593443543,-8.439560482899344,62.26027752856394,62.26027752856394
0.35,-0.8379706144332886,-3.078943490982056,0.1604115068912506,26.914815853039418,45.41002710660299,82.56005396445593,97.99306294243137,97.99306294243137
0.36,0.8786720037460327,-1.683123826980591,3.612850427627563,123.10187096397082,36.411818861961365,133.81592060128847,185.43622028621257,185.43622028621257
0.37,3.818751811981201,-0.3016694188117981,5.834669589996338,173.04093216856322,7.581640779972082,101.57400493820508,200.79323684294832,200.79323684294832
0.38,5.463568210601807,-0.569819986820221,6.064512729644775,169.70900297164914,-35.49403995275497,28.87008065978687,175.76818289753575,175.76818289753575
0.39,7.24485445022583,-1.647210717201233,5.104437828063965,132.5390229622523,-87.58788009484608,-36.99041406313579,163.11505166556458,163.11505166556458
0.4,8.360552787780762,-2.937685489654541,4.220977783203125,100.35695632298787,-108.47729047139485,-65.30184944470723,161.56476339638132,161.56476339638132
0.41,8.619126319885254,-4.738125324249268,3.746925592422485,107.02081521352132,-84.13623819748561,-60.9324316183726,149.14798922519327,149.14798922519327
0.42,9.0859956741333,-5.389348030090332,3.105279684066772,133.39693148930868,-43.99345616499583,-52.83205111821493,150.071286865484,150.071286865484
0.43,10.86488723754883,-5.408501625061035,2.315192937850952,154.6654224395752,-15.881538391113281,-51.954178512096405,163.92941415422504,163.92941415422504
0.44,13.96059036254883,-4.4532151222229,2.657563924789429,135.07287502288813,-25.1790205637614,-46.18814041217168,144.9551963823083,144.9551963823083
0.45,15.40668773651123,-4.740519523620605,1.759738206863403,75.25773843129468,-57.72021611531574,-30.346507330735513,99.58042503105874,99.58042503105874
0.46,15.25824737548828,-5.777208805084229,0.4213795065879822,0.5786021550495679,-72.72387742996216,-7.022991776466358,73.06448892857803,73.06448892857803
