Time,X,Y,Z,Acceleration_Magnitude,Intensity,Jerkiness,Kinetic_Energy,Fluidity
0.0,-1.446097850799561,-2.001552581787109,0.4572925269603729,397.4850160133936,0.024854070543516436,0.019574655431170897,0.0,5.108646757621026e-09
0.01,-1.247379064559937,-0.8834604024887085,4.266467571258545,772.1566583110333,0.07460125651879523,0.04444772574550189,0.006316863836389083,0.142118946028157
0.02,2.262520551681519,-0.5363011956214905,11.13543224334717,464.0325073266648,0.10084296513621037,0.09813539877619737,0.024072379858082662,0.24529762203738964
0.03,9.21288776397705,-1.991975784301758,12.30859088897705,417.1306680475125,0.11955934432279647,0.11616352939701217,0.03845191109380622,0.3310153487254703
0.04,15.61498355865479,-6.198588371276855,6.44279670715332,352.6755717768445,0.13692249317079971,0.12743459983987596,0.047616813790893914,0.37365687143794646
0.05,14.45379543304443,-6.14831018447876,2.229001760482788,230.30226955018574,0.14201272682856747,0.1379781586846904,0.05051370850550744,0.36609930937760055
0.06,11.51850414276123,-4.829104900360107,1.393425345420837,69.07976335383623,0.13429733894504353,0.1408495868302694,0.0506733064125005,0.3597689396969352
0.07,12.55519390106201,-5.125985622406006,4.316745758056641,96.61925413184619,0.12942804425389748,0.14184872933585785,0.05168754066514477,0.3643849402477185
0.08,14.80574321746826,-8.621520042419434,5.389348030090332,141.2713173487346,0.12901219236742895,0.1427369141448698,0.05564309797481979,0.38982976762532573
0.09,15.89989376068115,-9.50737476348877,0.9792284965515137,148.8183224216262,0.1275864674424288,0.1460579584116798,0.05852620089547089,0.4007053202001047
0.1,14.05875205993652,-9.289502143859863,-0.9696516990661621,134.7485904527651,0.12553289078094992,0.15190989920171571,0.056335443977610686,0.3708477483795554
0.11,12.8137674331665,-8.406042098999023,-0.6440402865409851,168.54858282333757,0.1263911276450079,0.1558939952722195,0.048647189215277525,0.31205300261124597
0.12,12.4378776550293,-7.903259754180908,0.6009446382522583,212.11752854845616,0.13007349949613758,0.15610313768559395,0.03809480908035096,0.24403615291928182
0.13,10.3573169708252,-5.760449409484863,0.1460463106632233,202.3475931074455,0.13239664976324636,0.15612944057901074,0.028258460826093918,0.18099380117410982
0.14,7.462726593017578,-3.988739967346191,-0.3495534360408783,204.5555478730951,0.1343083553761502,0.1564811178857145,0.02014315728486075,0.12872580191632418
0.15,6.124367713928223,-3.871424198150635,-0.1963245421648026,159.60232977910212,0.1336258715634976,0.15820564836109263,0.014052781930977445,0.08882604493853588
0.16,6.007051944732666,-2.844311714172363,0.6177040338516235,92.6999399906098,0.12847806667511655,0.15969964934614608,0.010352322615737593,0.0648237034837316
0.17,4.759673118591309,-2.863465309143066,-0.8690952062606812,81.95353154879092,0.12314525901832259,0.1617238502623791,0.008592652058544033,0.05313163237554479
0.18,4.256890773773193,-2.997540473937988,-1.927332401275635,120.41816963003131,0.1206160753836022,0.16735583792007452,0.00855909417677152,0.051143087585718894
0.19,5.003881454467773,-2.528276920318604,-2.968810081481934,202.5730138740894,0.12406889137144553,0.17697237471007957,0.01188649539771641,0.06716582470630977
0.2,7.395689010620117,-4.194641590118408,-3.792415380477905,295.93170741407994,0.13422813252195703,0.16539066946391903,0.019940056039664637,0.12056336795815606
